doc,class
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt sleeve_style-sleeveless color-white color_group-pale style-classic cut-button fabric-cotton,0
product_type-shirt cut-tieback cut-cropped cut-cutout color-white color_group-pale fabric-cotton sleeve_style-sleeveless style-feminine,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown color_group-pale color_group-dark color_group-warm_color style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt sleeve_style-sleeveless color-white color_group-pale style-classic cut-button fabric-cotton,0
product_type-shirt cut-tieback cut-cropped cut-cutout color-white color_group-pale fabric-cotton sleeve_style-sleeveless style-feminine,0
product_type-shirt color-white color_group-pale style-classic fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown color_group-pale color_group-dark color_group-warm_color style-classic fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt sleeve_style-sleeveless color-white color_group-pale style-classic cut-button fabric-cotton,0
product_type-shirt cut-tieback cut-cropped cut-cutout color-white color_group-pale fabric-cotton sleeve_style-sleeveless style-feminine,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-white color_group-pale sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve cut-buttonup cut-cropped fit-relaxed fit-loose style-classic neckline-collar fabric-viscose,0
product_type-shirt length-mini cut-strap cut-tieback fabric-polyester color-pattern color-yellow color_group-pattern,0
product_type-shirt length-mini cut-strap cut-tieback fabric-polyester color-pattern color-yellow color_group-pattern,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt fit-relaxed fit-oversized color-pattern color-purple color_group-dark neckline-button_collar cut-pocket,0
product_type-shirt color-pattern color-red color_group-pattern color_group-warm_color fit-oversized neckline-point_collar neckline-button_collar,0
product_type-shirt color-pattern color_group-pattern neckline-button_collar fit-regular style-classic,0
product_type-shirt cut-laceup color-white color_group-pale neckline-crew_neck fit-relaxed fit-oversized,0
product_type-shirt color-pattern color_group-pattern neckline-button_collar cut-tiewaist fit-regular_fit,0
product_type-shirt color-pattern color-black color_group-dark neckline-collar fit-long_line fit-relaxed fit-oversized,0
product_type-shirt fabric-feather color-pattern color-blue color_group-bright color_group-dark color_group-cool_color cut-button cut-pocket fit-regular,0
product_type-shirt cut-frill cut-ruffle cut-button color-pattern color_group-pattern style-classic neckline-point_collar fit-regular,0
product_type-shirt neckline-button_collar fit-regular color-black color_group-dark,0
product_type-shirt fit-relaxed fit-oversized color-pattern color-blue color-white color_group-pattern color_group-pale neckline-v_neck,0
product_type-shirt neckline-grandad neckline-collar fit-relaxed fit-oversized color-white color_group-pale,0
product_type-shirt color-pattern color_group-pattern cut-cropped neckline-point_collar neckline-button_collar fit-regular_fit,0
product_type-shirt color-white color_group-pale cut-zipper cut-pocket cut-zipback neckline-point_collar neckline-button_collar fit-regular_fit,0
product_type-shirt fabric-woven neckline-collar fit-regular_fit color-white color_group-pale,0
product_type-shirt color-pattern color-white color-gray color_group-pale neckline-point_collar neckline-button_collar cut-dip_hem fit-relaxed fit-oversized,0
product_type-shirt cut-button color-pattern color-black color_group-dark fit-relaxed fit-oversized,0
product_type-shirt fit-oversized color-pattern color-white color_group-pale neckline-point_collar neckline-button_collar cut-pocket,0
product_type-shirt cut-button color-pattern color_group-pattern neckline-v_neck fit-relaxed fit-oversized,0
product_type-shirt color-pattern color_group-pattern cut-pocket neckline-point_collar neckline-button_collar fit-regular_fit style-classic,0
product_type-shirt fabric-denim neckline-button_collar fit-regular color-blue color_group-bright color_group-cool_color color_group-pale,0
product_type-shirt cut-ruffle cut-frill style-fancy neckline-button_collar fit-relaxed fit-oversized color-blue color-pattern color_group-bright color_group-cool_color color_group-pattern,0
product_type-shirt color-white color_group-pale neckline-button_collar fit-regular fit-loose fit-skinny,0
product_type-shirt color-pattern fabric-silk cut-laceup cut-pocket neckline-collar fit-relaxed fit-oversized,0
product_type-shirt color-pattern neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit,0
product_type-shirt fit-long_line color-pattern color-white color_group-pattern color_group-pale cut-button neckline-v_neck,0
product_type-shirt style-vintage neckline-off_the_shoulder color-pattern color-green color_group-pattern color_group-cool_color fabric-velvet cut-strap cut-button cut-pocket cut-wide fit-relaxed fit-oversized,0
product_type-shirt color-red color-blue color-pattern color_group-dark color_group-pattern fabric-wovencotton fabric-cotton neckline-button_collar fit-relaxed,0
