doc,class
product_type-shirt activity-skateboarding color-pattern color-white color_group-pattern color_group-pale neckline-point_collar cut-pocket fit-regular,1
product_type-shirt sleeve_style-short_sleeve neckline-reverecollar neckline-button_collar color-pattern color-silver color-gray color_group-metallic fit-regular fit-classicfit,1
product_type-shirt neckline-grandad neckline-collar color-white color_group-pale cut-button cut-pocket fit-regular fit-classicfit,1
product_type-shirt fit-regular_fit color-blue cut-button_down cut-pocket neckline-button_collar style-classic,1
product_type-shirt sleeve_style-short_sleeve color-pattern color-pink neckline-reverecollar neckline-button_collar cut-pocket fit-regular_fit style-classic,1
product_type-shirt sleeve_style-short_sleeve color-white color_group-pale neckline-point_collar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt fit-slim fabric-jersey color-gray neckline-point_collar neckline-button_collar cut-pocket sleeve_style-long_sleeve,1
product_type-shirt fit-slim sleeve_style-short_sleeve color-white color_group-pale neckline-point_collar neckline-button_collar cut-pocket cut-narrow,1
product_type-shirt sleeve_style-short_sleeve cut-pocket cut-button neckline-point_collar neckline-button_collar fit-regular style-classic color-yellow color_group-dark,1
product_type-shirt fabric-poplin sleeve_style-short_sleeve color-white color_group-pale neckline-point_collar neckline-button_collar cut-button cut-pocket fit-regular style-classic,1
product_type-shirt cut-pocket neckline-point_collar neckline-button_collar fit-regular style-classic color-brown,1
product_type-shirt fabric-denim color-gray neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit length-midi,1
product_type-shirt color-pattern color-red color_group-dark cut-button_down cut-pocket neckline-button_collar fit-regular_fit,1
product_type-shirt neckline-reverecollar neckline-button_collar color-green cut-pocket fit-regular_fit,1
product_type-shirt fit-oversized color-pattern color-white color_group-pattern color_group-pale cut-pocket neckline-button_collar,1
product_type-shirt cut-pocket sleeve_style-long_sleeve fabric-woven neckline-point_collar fit-regular color-blue color_group-bright color_group-dark color_group-cool_color,1
product_type-shirt sleeve_style-short_sleeve color-blue color-pattern color_group-pattern cut-button_down cut-button neckline-collar fit-regular_fit,1
product_type-shirt fit-skinny neckline-v_neck cut-concealedbutton sleeve_style-short_sleeve color-purple color_group-pale,1
product_type-shirt color-blue style-classic neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt neckline-grandad neckline-collar color-pattern color-blue color_group-pattern cut-button fit-regular style-classic,1
product_type-shirt neckline-grandad neckline-collar color-blue color_group-dark cut-button fit-regular,1
product_type-shirt fabric-denim length-midi color-blue neckline-collar cut-pocket fit-regular_fit,1
product_type-shirt fit-slim sleeve_style-short_sleeve color-pink color-pattern color_group-pattern neckline-point_collar neckline-button_collar cut-pocket cut-narrow,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark neckline-reverecollar neckline-button_collar fit-regular_fit style-classic,1
product_type-shirt fit-slim neckline-grandad neckline-collar color-blue color_group-dark cut-button cut-narrow,1
product_type-shirt sleeve_style-short_sleeve neckline-grandad neckline-collar neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt color-pink color-pattern color_group-pattern neckline-point_collar neckline-button_collar fit-regular_fit style-classic,1
product_type-shirt color-pattern color-red color_group-pattern color_group-warm_color cut-pocket style-classic neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt sleeve_style-short_sleeve neckline-reverecollar color-pattern color-blue color_group-dark cut-button fit-regular_fit style-classic,1
product_type-shirt color-pattern color-white color_group-pattern color_group-pale cut-button_down cut-pocket neckline-button_collar fit-regular_fit fit-classicfit,1
product_type-shirt fit-skinny fit-regular_fit neckline-v_neck color-pink cut-concealedbutton,1
product_type-shirt color-blue color_group-dark cut-button_down neckline-button_collar fit-regular_fit,1
product_type-shirt neckline-grandad neckline-collar fit-slim cut-button cut-narrow,1
product_type-shirt sleeve_style-short_sleeve color-pattern color-white color_group-pale neckline-reverecollar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt neckline-reverecollar neckline-button_collar color-pattern color-blue color_group-dark cut-pocket fit-regular style-classic,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-dark fit-slim neckline-point_collar neckline-button_collar cut-narrow,1
product_type-shirt cut-buttonup cut-button cut-pocket color-pattern color-white color_group-pale neckline-crewneck fit-regular_fit fit-classicfit,1
product_type-shirt color-white color-pattern color_group-pale color_group-pattern neckline-button_collar cut-pocket fit-regular,1
product_type-shirt neckline-grandad neckline-collar sleeve_style-long_sleeve cut-button fit-regular color-brown color_group-pale color_group-dark color_group-warm_color,1
