doc,class
product_type-shirt sleeve_style-short_sleeve color-white color_group-pale neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt color-pattern color-white color_group-pattern color_group-pale style-classic neckline-collar_button fit-regular_fit,0
product_type-shirt fit-slim color-black color_group-dark cut-button cut-concealed_button neckline-collar style-occasion,0
product_type-shirt fit-slim neckline-point_collar neckline-collar_button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim sleeve_style-long_sleeve neckline-collar_button color-white color_group-pale cut-narrow,0
product_type-shirt fit-slim color-purple color_group-dark style-classic neckline-collar_button cut-narrow,0
product_type-shirt fit-slim color-blue color_group-dark neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt neckline-grandad neckline-collar fit-slim cut-button cut-narrow,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-dark sleeve_style-short_sleeve cut-button_down neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim neckline-collar_button cut-button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim sleeve_style-short_sleeve neckline-collar_button cut-narrow style-occasion color-white color_group-pale,0
product_type-shirt fit-skinny fit-regular_fit neckline-v_neck cut-button sleeve_style-short_sleeve style-going_out color-white color_group-pale,0
product_type-shirt sleeve_style-short_sleeve color-pattern color-blue color_group-pattern color_group-dark neckline-collar_button cut-pocket fit-regular_fit style-classic,0
product_type-shirt fit-slim color-blue color_group-bright color_group-dark color_group-cool_color neckline-collar_button cut-narrow,0
product_type-shirt fit-slim fit-regular_fit neckline-collar_button style-classic,0
product_type-shirt fit-slim neckline-point_collar neckline-collar_button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim color-pattern color-white color_group-pattern color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt fit-slim fabric-poplin fabric-cotton neckline-collar cut-button color-brown,0
product_type-shirt fit-slim neckline-point_collar neckline-collar_button cut-narrow color-white color-pink color_group-pale,0
product_type-shirt color-black color_group-dark fabric-viscose neckline-collar_button fit-regular_fit style-occasion,0
product_type-shirt fit-regular_fit color-pattern color_group-pattern neckline-point_collar neckline-collar_button style-occasion,0
product_type-shirt fit-slim length-mini color-pattern color_group-pattern neckline-point_collar neckline-collar_button cut-pocket cut-narrow,0
product_type-shirt fit-slim fabric-woven_cotton fabric-cotton style-classic neckline-point_collar neckline-collar_button color-white color_group-pale,0
product_type-shirt color-brown color-pattern color_group-pale color_group-dark color_group-warm_color color_group-pattern neckline-point_collar neckline-collar_button fit-regular_fit fit-classic_fit,0
product_type-shirt fit-skinny neckline-point_collar cut-concealed_button style-going_out,0
product_type-shirt fit-skinny sleeve_style-short_sleeve color-blue neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim neckline-collar neckline-collar_button color-black color_group-dark cut-narrow style-occasion,0
product_type-shirt sleeve_style-short_sleeve color-orange color_group-dark neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim color-pink neckline-collar_button,0
product_type-shirt fit-slim fabric-poplin neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt sleeve_style-long_sleeve neckline-collar_button color-green color_group-cool_color fit-regular_fit,0
product_type-shirt sleeve_style-short_sleeve color-pink cut-button_down cut-button neckline-collar_polo fit-regular_fit style-classic,0
product_type-shirt style-classic fit-slim fabric-woven_cotton fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button color-black color_group-dark,0
product_type-shirt color-white color_group-pale fabric-woven neckline-point_collar neckline-collar_button fit-slim cut-narrow,0
product_type-shirt fit-skinny neckline-collar_button color-white color_group-pale,0
product_type-shirt sleeve_style-short_sleeve color-pink neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim color-pattern color_group-pattern neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny color-pink neckline-collar_button,0
product_type-shirt fit-skinny sleeve_style-short_sleeve color-black color_group-dark neckline-point_collar neckline-collar_button style-going_out,0
product_type-shirt fit-slim cut-button cut-narrow neckline-collar_button color-blue,0
product_type-shirt fit-slim color-pattern color-white color_group-pattern color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt color-white color_group-pale fabric-poplin neckline-collar_button cut-pocket fit-regular_fit,0
product_type-shirt fit-skinny neckline-revere_collar neckline-collar_button color-pink style-going_out,0
product_type-shirt fit-skinny color-green neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim color-pink neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt color-white color_group-pale sleeve_style-long_sleeve fabric-woven fabric-polyester fabric-cotton neckline-point_collar neckline-collar_button cut-pocket fit-regular_fit,0
product_type-shirt color-pattern color-white color_group-pattern color_group-pale neckline-grandad neckline-collar_button fit-regular_fit,0
product_type-shirt color-white color_group-pale fabric-viscose neckline-point_collar fit-regular_fit style-classic style-occasion,0
product_type-shirt fit-slim color-white color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color sleeve_style-long_sleeve neckline-collar_button fit-regular_fit,0
product_type-shirt color-white color_group-pale fabric-poplin fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim color-white color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt fit-slim neckline-collar_button cut-narrow,0
product_type-shirt sleeve_style-long_sleeve cut-button_down cut-button neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim color-pink neckline-collar_button sleeve_style-long_sleeve,0
product_type-shirt fit-slim color-pattern color-white color_group-pattern color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt fit-muscle_fit fit-skinny sleeve_style-short_sleeve color-blue color_group-pale color_group-bright color_group-cool_color neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim fabric-poplin neckline-point_collar neckline-collar_button cut-narrow color-pink,0
product_type-shirt fit-slim neckline-grandad neckline-collar_button fabric-woven fabric-cotton fabric-elastane color-white color_group-pale,0
product_type-shirt color-white color_group-pale neckline-collar_button fit-slim cut-narrow,0
product_type-shirt fit-slim fit-skinny color-white color-pattern color_group-pale color_group-pattern neckline-collar_button cut-narrow,0
product_type-shirt fit-slim color-blue color_group-pale color_group-bright color_group-cool_color neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny color-black color_group-dark neckline-collar_button,0
product_type-shirt fit-skinny neckline-collar neckline-point_collar fabric-cotton cut-button color-white color_group-pale,0
product_type-shirt color-pattern color_group-pattern sleeve_style-long_sleeve neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-skinny sleeve_style-short_sleeve color-blue color_group-dark neckline-point_collar neckline-collar_button style-going_out,0
product_type-shirt fit-slim neckline-collar neckline-collar_button cut-narrow style-occasion color-blue color_group-pale color_group-bright color_group-cool_color,0
product_type-shirt color-blue color_group-dark fit-slim sleeve_style-short_sleeve cut-button_down cut-button cut-narrow neckline-collar,0
product_type-shirt sleeve_style-short_sleeve color-white color_group-pale neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt neckline-collar fit-slim cut-button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim fabric-poplin fabric-woven_cotton color-black color_group-dark neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny neckline-point_collar color-pink cut-button style-going_out,0
product_type-shirt fit-slim sleeve_style-short_sleeve color-blue color_group-dark cut-button_down cut-pocket cut-narrow neckline-collar_button,0
product_type-shirt fit-slim sleeve_style-long_sleeve neckline-collar_button color-blue color_group-pale cut-narrow,0
product_type-shirt sleeve_style-short_sleeve color-pattern color-pink color_group-pattern neckline-grandad neckline-collar_button cut-pocket fit-regular_fit style-classic,0
product_type-shirt fit-skinny neckline-collarless cut-button style-going_out color-white color_group-pale,0
product_type-shirt fit-slim color-black color_group-dark neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-elastane color-white color_group-pale neckline-collar_button,0
product_type-shirt fit-slim neckline-collar_button cut-narrow style-going_out,0
product_type-shirt fit-slim color-pattern color-white color_group-pattern color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt sleeve_style-short_sleeve color-green neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim fabric-poplin color-white color_group-pale style-classic neckline-point_collar sleeve_style-long_sleeve cut-button cut-narrow,0
product_type-shirt fit-skinny sleeve_style-short_sleeve cut-button_down neckline-collar_button,0
product_type-shirt fit-skinny color-blue color_group-dark neckline-point_collar neckline-collar_button style-going_out,0
product_type-shirt color-pattern color-blue color_group-pattern fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim color-pattern color-blue color_group-pattern color_group-pale cut-narrow neckline-collar_button,0
product_type-shirt color-white color_group-pale fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-muscle_fit fit-tight color-white color_group-pale fabric-woven neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim color-blue color_group-dark style-classic neckline-collar_button cut-narrow,0
product_type-shirt fit-slim neckline-point_collar neckline-collar_button cut-button style-going_out color-blue,0
product_type-shirt fit-skinny sleeve_style-short_sleeve color-gray color_group-dark neckline-point_collar neckline-collar_button,0
product_type-shirt color-blue neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim sleeve_style-short_sleeve neckline-collar_button cut-narrow style-occasion color-black color_group-dark,0
product_type-shirt cut-button_down cut-button neckline-collar color-blue fit-tailored style-going_out,0
product_type-shirt fit-slim color-pattern color-white color_group-pattern color_group-pale neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim cut-button_down cut-narrow neckline-collar_button color-white color_group-pale,0
product_type-shirt color-pattern color_group-pattern fabric-stretch_cotton neckline-collar_button fit-regular_fit,0
product_type-shirt fit-slim color-white color-pattern color_group-pale color_group-pattern neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim style-classic neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny color-white color_group-pale neckline-collar_button,0
product_type-shirt fit-muscle_fit fit-skinny color-white color_group-pale neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim color-pattern color-black color_group-pattern color_group-dark fabric-woven fabric-viscose neckline-point_collar neckline-collar_button,0
product_type-shirt sleeve_style-long_sleeve neckline-collar_button color-brown color_group-dark color_group-warm_color fit-regular_fit,0
