,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
24,39,,,,click_tell_me_more,1,3.09377223648795e-05,"[Shop new arrivals, positive]",4,0.000123750889459518,,,,"[color, cut]",22,0.000680629892027349,backpack,27,0.0008353185038517464,,,,,,,,,,,,,,,,,,,,,,OS12_1,40,0.0012375088945951798,YaBrowser/YaApp_iOS/YaApp_iOS_Browser,1.0,3.09377223648795e-05,LM-X410(FG),54,0.0016706370077034928
25,7,customer_care_url,756.0,0.0233889181078489,sleeve style_question,507,0.015685425238993904,"[Shop Now, Indifferent]",375,0.011601645886829812,bags,335.0,0.010364136992234632,[sleeve style],507,0.015685425238993904,sweater,881,0.027256133403458838,"[[true, pony]]",8.0,0.000247501778919036,[size],13.0,0.00040219039074343346,[pants],2.0,6.1875444729759e-05,,,,,,,,,,,,,OS13_1_3,1455,0.04501438604089967,Chrome/Safari/Edge,612.0,0.018933886087306253,X11,264,0.008167558704328188
26,10,fabric_question,551.0,0.017046685023048604,fit_question,297,0.009188503542369211,"[Shop Now, negative]",146,0.004516907465272406,fragrance,86.0,0.002660644123379637,[body type],257,0.00795099464777403,dress,435,0.013457909228722581,"[[false, mallet]]",6.0,0.000185626334189277,[neckline],6.0,0.000185626334189277,[sweater],1.0,3.09377223648795e-05,,,,,,,,,,,,,OS12_4,921,0.02849364229805402,Browser,70.0,0.002165640565541565,SM-G965U,247,0.007641617424125236
27,38,,,,trend_offer,1,3.09377223648795e-05,"[Speak to live assistant, neutral]",5,0.00015468861182439748,,,,[pack],23,0.0007115676143922285,phone case,27,0.0008353185038517464,,,,,,,,,,,,,,,,,,,,,,OS11_3,42,0.0012993843393249388,Chrome/Safari/Vivaldi,1.0,3.09377223648795e-05,SM-G950U1,54,0.0016706370077034928
28,25,positive_sku,8.0,0.000247501778919036,cut_question,13,0.00040219039074343346,"[Shop Now, Introduction, positive]",10,0.00030937722364879496,,,,"[size uk, size uk, size us, size, color, size us, size eu, size eu]",47,0.0014540729511493364,belt,91,0.002815332735204034,"[[true, rogue]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS11_4_1,106,0.0032793985706772266,Chrome/UCBrowser/Safari,9.0,0.0002784395012839155,SM-A205U,75,0.0023203291773659625
29,24,no_lang_support,10.0,0.00030937722364879496,material_question,16,0.000495003557838072,"[Help, positive, Shop Now]",10,0.00030937722364879496,,,,"[size uk, size us, size, size eu]",47,0.0014540729511493364,tie,95,0.002939083624663552,"[[false, jump]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS12_1_4,123,0.0038053398508801784,FxiOS/Safari,9.0,0.0002784395012839155,Pixel 2 XL,78,0.0024131423444606007
30,29,design_question,6.0,0.000185626334189277,,7,0.0002165640565541565,"[Shop on sale, positive]",7,0.0002165640565541565,,,,"[size uk, size, size eu, size us]",39,0.0012065711722303004,wallet,68,0.002103765120811806,"[[true, topmen]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,Android 6.0,80,0.0024750177891903597,MicroMessenger/NetType/Language,5.0,0.00015468861182439748,LM-X210(G),62,0.0019181387866225288
31,21,generic_aspect_question,16.0,0.000495003557838072,no_products_for_type_single,26,0.0008043807814868669,"[Bot Question, neutral, Shop Now]",12,0.000371252668378554,all,4.0,0.000123750889459518,"[color, color]",82,0.0025368932339201187,pajamas,111,0.0034340871825016242,"[[false, prada]]",2.0,6.1875444729759e-05,,,,,,,,,,,,,,,,,,,Android 10,147,0.004547845187637286,Chrome/Safari/hola_android,13.0,0.00040219039074343346,SAMSUNG SM-G965U,106,0.0032793985706772266
32,32,sub_group_types_question,4.0,0.000123750889459518,error_with_search,5,0.00015468861182439748,"[Shop Now, Aspect Question, neutral]",6,0.000185626334189277,,,,"[size uk, size uk, size us, size, size us, size eu, size eu, length]",29,0.0008971939485815055,swim trunks,46,0.001423135228784457,,,,,,,,,,,,,,,,,,,,,,OS12_3,75,0.0023203291773659625,Chrome/Whale/Crosswalk/Safari/NAVER(inapp;/search;,4.0,0.000123750889459518,SAMSUNG SM-G955U,58,0.001794387897163011
33,11,no_products_for_type,469.0,0.014509791789128484,offer_other_products_for_type,258,0.00798193237013891,"[Help, Shop Now, neutral]",140,0.00433128113108313,kitchen,84.0,0.0025987686786498776,[size],244,0.007548804257030597,shorts,413,0.012777279336695233,"[[true, jack]]",5.0,0.00015468861182439748,[material],5.0,0.00015468861182439748,"[shirt, fragrance]",1.0,3.09377223648795e-05,,,,,,,,,,,,,Android 8.1.0,887,0.027441759737648116,Chrome/YaBrowser/Yowser/Safari,45.0,0.0013921975064195775,SM-G975U,202,0.006249419917705659
34,33,click_tell_me_more,2.0,6.1875444729759e-05,size_question_answer,4,0.000123750889459518,"[Store Locator, neutral]",6,0.000185626334189277,,,,"[size, body type]",29,0.0008971939485815055,beanie,40,0.0012375088945951798,,,,,,,,,,,,,,,,,,,,,,OS10_3_3,74,0.002289391455001083,Quark/AliApp(TUnionSDK,3.0,9.28131670946385e-05,SM-G531H,57,0.0017634501747981314
35,14,clarify_for_product_type,154.0,0.004764409244191443,offer_other_products_for_type_parent,160,0.004950035578380719,[negative],97,0.003000959069393311,toys \u0026 games,45.0,0.0013921975064195775,[length],188,0.005816291804597346,watch,214,0.006620672586084213,"[[false, dr denim], [false, doctor denim]]",2.0,6.1875444729759e-05,[pack],2.0,6.1875444729759e-05,,,,,,,,,,,,,,,,OS13_0,443,0.013705411007641617,Chrome/ADG/AOLBUILD/Safari,27.0,0.0008353185038517464,SAMSUNG SM-G950U,128,0.003960028462704576
36,2,subvertical_selection,4169.0,0.12897936453918263,shopping_open_question_no_gender,9107,0.2817498375769576,"[Not Understood, neutral]",4850,0.15004795346966557,clothing,12120.0,0.3749651950623395,[color],2311,0.07149707638523652,shirt,5428,0.1679299569965659,,1344.0,0.04158029885839804,,1344.0,0.04158029885839804,,1344.0,0.04158029885839804,male,10571.0,0.32704266311914115,user,14176.0,0.43857315224453175,New Visitor,4592.0,0.14206602109952665,Desktop,9254.0,0.2862976827645949,Android 9,4735,0.14649011539770443,Safari,10820.0,0.3347461559879962,,8798,0.2721900813662098
37,30,store_locator_button,5.0,0.00015468861182439748,no_lang_support,7,0.0002165640565541565,"[Choose All, neutral]",7,0.0002165640565541565,,,,"[size uk, size uk, size us, size, size us, size eu, size eu, fabric]",32,0.000990007115676144,shoes,61,0.0018872010642576494,"[[true, brim]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS13_2,79,0.0024440800668254804,Chrome/Safari/AVG,4.0,0.000123750889459518,SM-N960F,60,0.0018562633418927699
38,18,clarify_for_product_type_aspect,63.0,0.0019490765089874083,clarify_for_product_type,57,0.0017634501747981314,"[Frustration, Shop Now]",39,0.0012065711722303004,jewelry,9.0,0.0002784395012839155,[style],98,0.0030318967917581908,tracksuit,151,0.004671596077096804,"[[true, sleep \u0026 co]]",2.0,6.1875444729759e-05,[design],1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,Android 6.0.1,252,0.007796306035949633,Chrome/YaBrowser/Safari,21.0,0.0006496921696624694,SAMSUNG SM-G960U,115,0.003557838071961142
39,36,,,,order_information_no_order_number_no_escalation,2,6.1875444729759e-05,"[Shop Now, Product not found, Product Aspect Information, neutral]",5,0.00015468861182439748,,,,"[fabric, cut]",26,0.0008043807814868669,luggage,30,0.0009281316709463849,,,,,,,,,,,,,,,,,,,,,,OS11_4,54,0.0016706370077034928,Chrome/Safari/YandexSearch/YandexSearchBrowser,1.0,3.09377223648795e-05,SM-G900P,56,0.001732512452433252
