,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
148,shirt,tunic,Female,"[""beach"",""cocktail"",""creative black tie"",""active"",""casual"",""dressy casual""]","['0.37%', '1.11%', '0.74%', '0.56%', '74.77%', '22.45%']","[2, 6, 4, 3, 403, 121]",539
149,shirt,overshirt,Female,"[""casual""]",['100.0%'],[12],12
150,dress,overall dress,Female,"[""dressy casual"",""casual""]","['17.39%', '82.61%']","[4, 19]",23
151,pants,wind pants,Female,"[""active""]",['100.0%'],[1],1
152,trousers,capri trousers,Female,"[""active""]",['100.0%'],[5],5
153,pants,beach pants,Male,"[""casual""]",['100.0%'],[399],399
154,shorts,sport shorts,Female,"[""active"",""casual""]","['78.87%', '21.13%']","[56, 15]",71
155,trousers,harem trousers,Female,"[""casual""]",['100.0%'],[2],2
156,skirt,pinafore,Female,"[""dressy casual"",""casual""]","['3.85%', '96.15%']","[2, 50]",52
157,trousers,bell trousers,Female,"[""cocktail"",""casual"",""dressy casual"",""business formal"",""active""]","['37.04%', '11.11%', '37.04%', '7.41%', '7.41%']","[10, 3, 10, 2, 2]",27
158,top,sweat top,Unisex,"[""casual""]",['100.0%'],[3],3
159,dress,jumper dress,Female,"[""active"",""dressy casual"",""cocktail"",""casual""]","['0.35%', '1.93%', '0.53%', '97.19%']","[4, 22, 6, 1106]",1138
160,shirt,vest top,Unisex,"[""business formal""]",['100.0%'],[24],24
161,sweater,poncho,Female,"[""casual""]",['100.0%'],[17],17
162,shorts,bermuda shorts,Male,"[""casual""]",['100.0%'],[35],35
163,jeans,culottes jeans,Female,"[""casual"",""dressy casual""]","['80.0%', '20.0%']","[4, 1]",5
164,shirt,blouse,Female,"[""beach"",""cocktail"",""creative black tie"",""white tie"",""business formal"",""active"",""dressy casual"",""casual""]","['0.04%', '2.16%', '3.29%', '0.04%', '1.92%', '0.61%', '12.15%', '79.78%']","[2, 109, 166, 2, 97, 31, 613, 4024]",5044
165,jeans,bootcut jeans,Female,"[""dressy casual"",""casual""]","['66.67%', '33.33%']","[16, 8]",24
166,sweater,cardigan,Male,"[""casual"",""dressy casual""]","['93.85%', '6.15%']","[122, 8]",130
167,dress,a line dress,Female,"[""beach"",""black tie"",""white tie"",""business formal"",""creative black tie"",""cocktail"",""business casual"",""dressy casual"",""festive"",""casual""]","['1.17%', '0.73%', '0.15%', '15.98%', '4.4%', '3.08%', '0.59%', '19.79%', '0.29%', '53.81%']","[8, 5, 1, 109, 30, 21, 4, 135, 2, 367]",682
168,shorts,sweat shorts,Male,"[""active"",""casual""]","['14.63%', '85.37%']","[6, 35]",41
169,leotard,leotard,Female,"[""active""]",['100.0%'],[8],8
170,skirt,pencil skirt,Female,"[""creative black tie"",""business casual"",""casual"",""dressy casual"",""active"",""business formal""]","['0.24%', '1.9%', '52.86%', '25.24%', '0.48%', '19.29%']","[1, 8, 222, 106, 2, 81]",420
171,jeans,mom jeans,Female,"[""business formal"",""casual"",""dressy casual"",""cocktail""]","['1.24%', '90.06%', '6.83%', '1.86%']","[4, 290, 22, 6]",322
172,shirt,football jersey,Male,"[""beach"",""business formal"",""active"",""casual""]","['50.0%', '12.5%', '25.0%', '12.5%']","[4, 1, 2, 1]",8
